index,recno,RAJ2000,DEJ2000,Name,Comp,2MASS,Conf,l_Sep,Sep,PA,Date,Tech,r_Sep,DelMag,Filt,r_DelMag,pmRA,pmDE,r_pmRA,plx-DR2,e_plx-DR2,n_plx-DR2,epsi,sepsi,plx-lit,e_plx-lit,r_plx-lit,Gmag,BpRp,Vmag,Rmag,Imag,r_Vmag,Rtmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,n_Kmag,Mass,e_Mass,n_Mass,Memb,SimbadName
187,25,16.22420833333333,-18.124611111111108,GJ 1028,,01045368-1807292,,,,,,,,,,,1292.25,488.25,2018A&A...616A...2L,102.3224,0.0752,,0.26,35.0,102.16,0.85,1995gcts.book.....V 2016AJ....152...24W,12.7127,3.4294,14.45,12.98,11.1,1996AJ....112.2300W,,9.387,0.026,8.753,0.049,8.453,0.024,,0.136,0.014,,s,GJ 1028
30,36,24.209999999999997,41.39225,GJ 61,B,01365042+4123325,AB,,55.63,149,1999,visdet,2002ApJ...572L..79L,5.65,Ks,2006AJ....131.1163S,-172.07,-383.89,2018A&A...616A...2L,74.207,0.088,,0.22,15.58,73.78,0.09,2010ApJ...715.1203M 2010ApJ...715.1203M 1995gcts.book.....V 2007A&A...474..653V,12.5126,3.0515,,,,,12.7,9.388,0.022,8.827,0.044,8.508,0.018,,0.187,0.014,,s,GJ 61
264,119,83.21629166666665,33.82963888888889,LHS 5108,,05325194+3349474,,,,,,,,,,,-258.13,-421.23,2018A&A...616A...2L,68.3356,0.0659,,0.15,7.56,75.6,1.3,2014ApJ...784..156D,12.2234,2.7075,,,,,12.3,9.391,0.021,8.816,0.029,8.558,0.017,,0.202,0.014,,s,LHS 5108
393,265,174.56983333333332,-77.36347222222221,SCR 1138-7721,,11381671-7721484,,,,,,,,,,,-2063.92,616.17,2018A&A...616A...2L,119.2548,0.0718,,0.4,66.9,120.41,1.01,2014AJ....148...91L,12.8358,3.6046,14.78,13.2,11.24,2014AJ....148...91L,,9.399,0.022,8.89,0.022,8.521,0.019,,0.118,0.014,,s,SCR J1138-7721
354,24,16.028958333333332,-65.37424999999999,L 87-10,,01040695-6522272,,,,,,,,,,,-310.22,-173.51,2018A&A...616A...2L,80.1934,0.0429,,0.15,9.72,85.51,1.47,2019AJ....157..216W,12.4653,3.0366,13.98,12.63,10.95,2015AJ....149....5W,,9.401,0.026,8.841,0.025,8.532,0.021,,0.169,0.014,,s,L 87-10
318,446,302.32599999999996,-1.2272777777777777,2MA 2009-0113,,20091824-0113377,,,,,,,,,,,-43.63,-373.72,2018A&A...616A...2L,92.5166,0.1155,,0.27,33.2,95.95,1.54,2014AJ....147...85R,12.6943,3.3397,14.47,12.98,11.16,2014AJ....147...85R,,9.403,0.026,8.832,0.025,8.512,0.023,,0.146,0.014,,s,2MASS J20091824-0113377
197,41,27.767041666666664,-6.118083333333333,LHS 1302,,01510405-0607047,,,,,,,,,,,545.69,-266.85,2018A&A...616A...2L,94.4945,0.0968,,0.28,25.3,100.78,1.89,2006AJ....132.2360H,12.7171,3.343,14.49,13.0,11.16,2006AJ....132.2360H,,9.413,0.021,8.841,0.021,8.552,0.022,,0.141,0.014,,s,LHS 1302
210,475,326.8227083333333,-4.7446111111111104,LP 698-42,,21471744-0444406,,,,,,,,,,,257.13,5.46,2018A&A...616A...2L,86.7899,0.096,,0.18,10.5,88.1,5.4,2018AJ....155..176F,12.6236,3.2109,14.24,12.86,11.11,This Work,,9.416,0.022,8.84,0.025,8.501,0.023,,0.157,0.014,,s,2MASS J21471744-0444406
278,323,213.88562499999998,4.658722222222222,GJ 1182,A,14153253+0439312,AB,,0.025,orb,2018,radorb,2020AJ....159..290W,1.18,Ks,This work,-744.93,-766.43,2018A&A...616A...2L,71.114,0.3884,,1.58,986.0,71.7,3.4,1995gcts.book.....V,12.6739,3.2823,14.3,12.95,11.09,1996AJ....112.2300W,,9.433,0.026,8.936,0.022,8.618,0.025,J,0.157,0.017,u,s,GJ 1182
60,215,135.09812499999998,21.834666666666664,LHS 2090,,09002359+2150054,,,,,,,,,,,-515.66,-592.06,2018A&A...616A...2L,156.7584,0.1329,,0.68,118.0,156.87,2.67,2006AJ....132.2360H,13.4323,4.4215,16.11,14.12,11.84,2014AJ....147...94D,,9.436,0.02,8.836,0.023,8.437,0.021,,0.103,0.014,,s,LHS 2090
485,471,324.1054166666666,-44.01669444444444,WT 795,,21362532-4401005,,,,,,,,,,,485.02,-679.68,2018A&A...616A...2L,70.542,0.072,,0.17,15.8,69.53,0.7,2010AJ....140..897R,12.5911,3.0891,14.15,12.8,11.08,2010AJ....140..897R,,9.456,0.024,8.834,0.027,8.53,0.023,,0.197,0.014,,s,WT 795
207,481,334.3277916666666,-8.805277777777777,GJ 852,B,22171870-0848186,BC,,0.97,317,2008,lkydet,2010A&A...520A..54B,1.18,Ks,2004A&A...425..997B,-494.34,-252.91,2018A&A...616A...2L,89.2041,0.1283,,0.44,51.0,99.6,3.3,1995gcts.book.....V,12.8567,3.3368,14.43,13.04,11.2,1996AJ....112.2300W,,9.459,0.027,8.84,0.031,8.531,0.023,J,0.131,0.014,v,s,GJ 852
118,356,247.82829166666664,40.86438888888888,G 180-60,,16311879+4051516,,,,,,,,,,,-143.43,306.32,2018A&A...616A...2L,88.8598,0.0771,,0.5,97.2,83.2,2.6,2014ApJ...784..156D,12.9519,3.5286,14.76,13.27,11.3,1984ApJS...55..289W,,9.461,0.023,8.869,0.023,8.506,0.016,,0.153,0.014,,s,G 180-60
365,91,62.38474999999999,-44.59430555555555,UPM 0409-4435,,04093234-4435395,,,,,,,,,,,-16.86,115.59,2018A&A...616A...2L,68.0681,0.0427,,0.19,18.4,,,,12.6637,3.1734,14.32,12.94,11.18,This Work,,9.464,0.024,8.912,0.022,8.561,0.023,,0.203,0.014,,s,UPM J0409-4435
424,225,143.61641666666665,-26.724111111111107,LP 846-15,,09342791-2643267,,,,,,,,,,,294.29,-22.12,2018A&A...616A...2L,69.7347,0.0451,,0.08,3.76,63.6,3.1,2018AJ....155..176F,12.5573,3.0028,14.1,12.76,11.08,This Work,,9.473,0.024,8.942,0.046,8.619,0.019,,0.19,0.014,,s,LP 846-15
128,301,197.39566666666664,28.98516666666666,GJ 1167,,13093495+2859065,,,,,,,,,,,-338.42,-203.82,2018A&A...616A...2L,77.813,0.0617,,0.16,15.5,80.93,1.25,2014ApJ...784..156D 2010A&A...514A..84S 1995gcts.book.....V,12.5984,3.0843,14.2,12.77,11.1,2019AJ....157..216W,,9.476,0.027,8.912,0.031,8.612,0.019,,0.168,0.014,,s,GJ 1167 A
26,26,16.40683333333333,28.49266666666666,GJ 1029,A,01053732+2829339,AB,,0.011,orb,2017,radorb,2020AJ....159..290W,1.02,Ks,This work,1914.46,-188.45,2018A&A...616A...2L,79.8409,0.3404,,1.94,1130.0,83.7,2.19,2014ApJ...784..156D 1995gcts.book.....V,12.9701,3.5255,14.79,13.29,11.37,1996AJ....112.2300W,,9.486,0.025,8.881,0.034,8.55,0.02,J,0.141,0.017,u,s,GJ 1029
335,393,271.7023333333333,17.34644444444444,LP 449-10,,18064856+1720472,,,,,,,,,,,20.11,165.78,2018A&A...616A...2L,66.9905,0.05,,0.16,10.7,79.4,2.0,2014ApJ...784..156D,12.4772,2.8776,,,,,12.6,9.49,0.023,8.917,0.029,8.652,0.022,,0.196,0.014,,s,LP 449-10
286,257,164.61662499999997,-10.775138888888888,LP 731-76,,10582800-1046304,,,,,,,,,,,-192.76,-83.85,2018A&A...616A...2L,69.1542,0.085,,0.2,13.1,73.22,1.69,2017AJ....154..151B,12.7677,3.2053,14.44,13.05,11.24,2015AJ....150....6H,,9.512,0.023,8.965,0.022,8.64,0.021,,0.19,0.014,,s,LP 731-76
271,293,191.00304166666663,-11.175111111111109,LHS 5226,,12440075-1110302,,,,,,,,,,,-479.4,-152.9,2018A&A...616A...2L,70.4832,0.0846,,0.22,30.2,72.18,1.68,2019AJ....157..216W,12.6499,3.0845,14.19,12.85,11.13,2017AJ....153...14W,,9.516,0.023,8.969,0.022,8.674,0.023,,0.182,0.014,,s,LHS 5226
496,422,288.1635416666666,-36.24905555555555,WIS 1912-3615,,19123922-3614555,,,,,,,,,,,772.88,-1956.07,2018A&A...616A...2L,87.24,0.2133,,0.16,8.37,87.24,1.44,2017AJ....154..191J,12.4944,2.9544,13.91,12.64,11.0,2017AJ....154..191J,,9.523,0.022,9.008,0.057,8.769,0.019,,0.138,0.014,,s,WISE J191239.91-361516.5
367,97,66.23412499999999,-40.04655555555555,LHS 1668,,04245619-4002469,,,,,,,,,,,-96.93,-635.25,2018A&A...616A...2L,69.8147,0.0469,,0.17,15.1,72.9,2.9,2018AJ....155..176F,12.568,2.9666,14.1,12.77,11.07,2004AJ....128..463R,,9.53,0.026,8.985,0.027,8.665,0.019,,0.185,0.014,,s,LHS 1668
76,151,102.27270833333331,37.11405555555555,GJ 1092,,06490542+3706533,,,,,,,,,,,206.43,-1590.03,2018A&A...616A...2L,68.844,0.0763,,0.17,9.64,74.67,1.68,2014ApJ...784..156D 1995gcts.book.....V,12.4788,2.8631,13.78,12.58,11.0,1996AJ....112.2300W,,9.561,0.021,9.053,0.016,8.773,0.017,,0.177,0.014,,s,GJ 1092
32,20,14.504833333333332,39.31977777777777,LSPM 0058+3919,,00580115+3919111,,,,,,,,,,,-106.55,25.31,2018A&A...616A...2L,68.7215,0.1358,,0.15,11.4,75.1,4.1,2016AJ....151..160F,12.6673,3.0745,,,,,12.9,9.561,0.026,8.947,0.029,8.68,0.018,,0.187,0.014,,s,PM J00580+3919
107,339,232.62637499999997,9.43372222222222,LP 502-56,,15303032+0926014,,,,,,,,,,,-178.99,184.49,2018A&A...616A...2L,115.7576,0.1437,,0.84,226.0,123.2,4.3,2014ApJ...784..156D,13.092,3.7183,,,,,13.5,9.569,0.025,9.006,0.025,8.661,0.025,,0.116,0.014,,s,LP 502-56
146,376,262.82154166666663,82.08891666666665,GJ 1220,,17311725+8205198,,,,,,,,,,,-291.54,483.89,2018A&A...616A...2L,77.7089,0.0425,,0.19,16.2,77.86,2.5,2014ApJ...784..156D 1995gcts.book.....V,12.6771,3.0636,14.13,12.84,11.11,1996AJ....112.2300W,,9.572,0.019,9.02,0.017,8.73,0.016,,0.158,0.014,,s,GJ 1220
134,302,197.55262499999998,47.75513888888888,LHS 2686,,13101268+4745190,,,,,,,,,,,-636.17,-616.23,2018A&A...616A...2L,82.0336,0.0641,,0.33,51.6,83.57,0.92,2017AJ....154..147D 2014ApJ...784..156D 2010A&A...514A..84S,12.8205,3.2474,14.53,13.11,11.28,1996AJ....112.2300W,,9.584,0.02,8.995,0.017,8.687,0.016,,0.152,0.014,,s,LHS 2686
52,205,134.08149999999998,12.663777777777776,G 41-8,A,08561956+1239500,AB,,1.8,210,2011,lkydet,2014ApJ...789..102J,0.51,i',2014ApJ...789..102J,-47.25,-246.68,2018A&A...616A...2L,85.5528,0.0663,,0.2,23.3,95.2,6.5,2016AJ....151..160F,12.78,3.2274,14.46,13.1,11.29,2003AJ....126.3007R,,9.585,0.021,9.033,0.022,8.708,0.017,J,0.118,0.014,v,s,G 41-8
191,17,11.247249999999998,-15.271527777777775,LHS 1140,,00445930-1516166,,,,,,,,,,,317.58,-596.61,2018A&A...616A...2L,66.6996,0.0674,,0.17,14.9,80.18,2.76,2019AJ....157..216W,12.6706,3.0363,14.18,12.88,11.19,2015AJ....149....5W,,9.612,0.023,9.092,0.026,8.821,0.024,,0.179,0.014,,s,LHS 1140
93,201,130.33387499999998,59.49738888888888,LHS 252,,08412013+5929505,,,,,,,,,,,-260.42,-1279.61,2018A&A...616A...2L,105.3856,0.0944,,0.62,113.0,105.7,1.71,2014ApJ...784..156D 2013MNRAS.435.1083K 1995gcts.book.....V,13.1117,3.6899,15.05,13.48,11.49,1996AJ....112.2300W,,9.615,0.023,8.996,0.028,8.668,0.021,,0.123,0.014,,s,LHS 252
427,231,145.94233333333332,-17.78505555555555,LHS 272,,09434633-1747066,,,,,,,,,,,-1420.04,225.97,2018A&A...616A...2L,74.5686,0.044,,0.07,2.08,73.1,0.5,2017AJ....154..147D 2017AJ....154..191J,12.17,2.3524,13.16,12.1,10.87,2011AJ....141..117J,,9.616,0.024,9.118,0.023,8.874,0.021,,0.154,0.014,,s,LHS 272
116,334,223.79774999999998,30.112638888888885,LSPM 1455+3006,,14551146+3006454,,,,,,,,,,,57.39,-79.96,2018A&A...616A...2L,71.4908,0.0492,,0.16,18.9,70.1,3.5,2016AJ....151..160F,12.5256,2.8042,,,,,12.7,9.617,0.023,9.036,0.026,8.769,0.022,,0.17,0.014,,s,PM J14551+3006
56,227,145.25858333333332,22.024499999999996,GJ 359,,09410199+2201291,,,,,,,,,,,461.64,-487.47,2018A&A...616A...2L,81.2607,0.0976,,0.17,14.5,81.34,2.72,2014ApJ...784..156D 1995gcts.book.....V,12.7162,3.1047,14.24,12.93,11.2,1996AJ....112.2300W,,9.627,0.021,9.088,0.021,8.813,0.021,,0.145,0.014,,s,GJ 359
219,508,355.71975,30.822722222222218,GJ 1288,,23425274+3049219,,,,,,,,,,,-336.12,-300.52,2018A&A...616A...2L,77.9876,0.1206,,0.27,50.1,80.37,1.53,2014ApJ...784..156D 1995gcts.book.....V,12.814,3.1336,14.36,13.02,99.99,1982PASP...94..821W,,9.637,0.023,9.081,0.031,8.814,0.02,,0.151,0.014,,s,GJ 1288
287,248,160.7617083333333,-9.211305555555555,WT 1827,A,10430293-0912410,AB,,0.477,267,2006,spkdet,2018AJ....155..215M,1.7,V,2018AJ....155..215M,-1977.58,370.15,2018A&A...616A...2L,81.3994,0.2614,,1.49,495.0,85.74,0.9,2017AJ....154..147D 2005AJ....129.1954J,13.1592,3.5799,15.11,13.57,11.59,2015AJ....149....5W,,9.667,0.027,9.097,0.026,8.728,0.019,J,0.128,0.014,v,s,WT 1827
452,322,212.99974999999998,-41.539222222222214,WT 460,A,14115998-4132211,AB,,0.511,213,2005,AO det,2006A&A...460L..19M,2.47,H,2006A&A...460L..19M,-712.62,-58.53,2018A&A...616A...2L,111.0291,0.3458,,1.62,436.0,107.41,1.52,2006AJ....132.2360H,13.4308,3.9552,15.65,13.91,11.8,2015AJ....149....5W,,9.67,0.022,9.041,0.024,8.62,0.02,J,0.116,0.014,v,s,WT 460
358,82,54.73295833333333,-52.56963888888888,L 228-92,,03385590-5234107,,,,,,,,,,,144.97,224.48,2018A&A...616A...2L,81.3958,0.0559,,0.23,23.8,80.8,4.4,2018AJ....155..176F,12.7964,3.1228,14.43,13.02,11.31,This Work,,9.688,0.026,9.109,0.024,8.799,0.023,,0.146,0.014,,s,L 228-92
436,363,251.9798333333333,-65.15322222222221,LP 154-205,,16475517-6509116,,,,,,,,,,,349.74,-100.78,2018A&A...616A...2L,68.5548,0.0464,,0.12,9.28,66.7,0.92,2019AJ....157..216W,12.637,2.8614,13.98,12.73,11.16,2015AJ....149....5W,,9.695,0.022,9.17,0.027,8.879,0.025,,0.168,0.014,,s,L 154-205
289,258,165.33187499999997,3.0047777777777775,LHS 296,,11011965+0300171,,,,,,,,,,,1022.68,-413.19,1995gcts.book.....V,,,2p,,,69.36,2.4,2014ApJ...784..156D 1995gcts.book.....V,12.6535,2.8821,14.06,12.82,11.21,1996AJ....112.2300W,,9.708,0.027,9.23,0.026,8.907,0.021,,0.164,0.015,,s,LHS 296
507,459,313.9046666666666,-14.06522222222222,GJ 810,B,20553706-1403545,AC-B,,107.12,185,2001,visdet,2003AJ....125..332J,2.13,V,2003AJ....125..332J,1420.74,-472.12,2018A&A...616A...2L,80.2319,0.0881,,0.25,35.0,78.49,0.49,2011AJ....141..117J 2011AJ....141..117J 2016AJ....152...24W 2016AJ....152...24W 1995gcts.book.....V,12.9197,3.238,14.61,13.25,11.46,1990A&AS...83..357B,,9.717,0.024,9.218,0.024,8.915,0.021,,0.14,0.014,,s,GJ 810 B
351,389,270.6927916666666,37.51752777777777,GJ 1223,,18024624+3731048,,,,,,,,,,,170.95,-1141.56,2018A&A...616A...2L,81.8797,0.0588,,0.48,67.9,92.73,3.03,2014ApJ...784..156D 1995gcts.book.....V,13.105,3.4297,14.8,13.4,11.56,1996AJ....112.2300W,,9.72,0.021,9.189,0.022,8.887,0.018,,0.139,0.014,,s,GJ 1223
453,318,209.52249999999998,-39.632,SSS 1358-3938,,13580529-3937545,,,,,,,,,,,1736.05,-888.01,2018A&A...616A...2L,86.5313,0.0644,,0.15,8.05,88.66,0.8,2017AJ....154..191J,12.6382,2.8775,14.04,12.8,11.2,2015AJ....149....5W,,9.72,0.024,9.226,0.024,8.948,0.02,,0.129,0.014,,s,SSSPM J1358-3938
162,478,332.8506666666666,40.99966666666666,LSPM 2211+4059,,22112417+4059587,,,,,,,,,,,-91.43,67.17,2018A&A...616A...2L,78.9298,0.0781,,0.53,86.2,72.6,5.9,2016AJ....151..160F,13.2363,3.5419,,,,,13.7,9.725,0.02,9.097,0.017,8.79,0.016,,0.151,0.014,,s,PM J22114+4059
102,214,134.98416666666665,72.9601111111111,LHS 2088,,08595604+7257364,,,,,,,,,,,961.49,-32.51,2018A&A...616A...2L,69.3053,0.0543,,0.21,20.7,73.38,2.01,2014ApJ...784..156D 1995gcts.book.....V,12.812,3.0666,14.34,13.02,11.34,2019AJ....157..216W,,9.731,0.021,9.239,0.017,8.975,0.015,,0.158,0.014,,s,LHS 2088
327,372,258.8288333333333,4.963916666666666,GJ 1214,,17151894+0457496,,,,,,,,,,,580.44,-749.58,2018A&A...616A...2L,68.2653,0.1723,,0.34,35.2,68.47,0.43,2014ApJ...784..156D 1995gcts.book.....V 2016AJ....152...24W,13.0089,3.2362,14.68,13.31,11.59,1996AJ....112.2300W,,9.75,0.024,9.094,0.024,8.782,0.02,,0.178,0.014,,s,GJ 1214
361,111,76.31016666666666,-47.937638888888884,2MA 0505-4756,,05051443-4756154,,,,,,,,,,,-66.08,25.07,2018A&A...616A...2L,71.3886,0.0448,,0.25,28.0,,,,12.8938,3.1132,,,,,13.1,9.755,0.022,9.17,0.022,8.9,0.021,,0.159,0.014,,s,2MASS J05051443-4756154
12,100,68.39154166666665,20.746055555555554,LHS 1681,,04333393+2044461,,,,,,,,,,,454.49,-321.94,2018A&A...616A...2L,73.5425,0.0975,,0.26,33.4,73.4,2.3,2014ApJ...784..156D,12.9125,3.1013,,,,,13.1,9.769,0.021,9.24,0.019,8.96,0.014,,0.15,0.014,,s,LHS 1681
313,392,271.4360833333333,-14.37847222222222,LSPM 1805-1422,,18054470-1422425,,,,,,,,,,,-344.93,24.88,2018A&A...616A...2L,105.5637,0.1437,,0.66,67.3,104.8,7.3,2018AJ....155..176F,13.277,3.6839,,,,,13.7,9.777,0.022,9.209,0.022,8.861,0.021,,0.116,0.014,,s,PM J18057-1422
37,22,15.497874999999997,54.18269444444444,G 218-20,,01015952+5410577,,,,,,,,,,,-303.42,-116.97,2018A&A...616A...2L,89.9348,0.0752,,0.42,55.9,91.8,2.8,2014ApJ...784..156D,13.174,3.4898,,,,,13.5,9.778,0.022,9.197,0.021,8.864,0.016,,0.129,0.014,,s,G 218-20
505,440,298.5859583333333,-23.944555555555553,GJ 770,C,19542064-2356398,AC,,41.44,107,2001,visdet,2012AJ....144...62A,4.8,Ks,2006AJ....131.1163S,-127.1,-407.32,2018A&A...616A...2L,70.5967,0.0773,,0.45,61.3,71.18,0.42,1995gcts.book.....V 2007A&A...474..653V,13.2461,3.4053,,,,,13.7,9.791,0.021,9.193,0.024,8.839,0.023,,0.166,0.014,,s,GJ 770
144,331,217.80604166666663,75.4451111111111,LSPM 1431+7526,,14311348+7526423,,,,,,,,,,,-198.58,-32.82,2018A&A...616A...2L,68.8501,0.0401,,0.19,16.6,68.8,3.1,2014ApJ...784..156D,12.7834,2.92,,,,,12.9,9.792,0.018,9.252,0.015,8.961,0.022,,0.161,0.014,,s,LSPM J1431+7526
332,396,274.1314166666666,4.879388888888888,G 140-51,,18163154+0452456,,,,,,,,,,,-155.71,407.38,2018A&A...616A...2L,68.1534,0.1085,,0.53,57.6,77.1,1.2,2014ApJ...784..156D,13.0379,3.2396,,,,,13.4,9.798,0.027,9.148,0.024,8.832,0.023,,0.174,0.014,,s,G 140-51
344,373,259.4337083333333,11.66997222222222,GJ 1215,A,17174408+1140117,AB,,0.056,orb,1983,astorb,1988AJ.....95..237D,,,,-352.89,-445.55,2018A&A...616A...2L,80.7994,0.1696,,1.04,357.0,78.78,2.59,2014ApJ...784..156D 1995gcts.book.....V,13.2378,3.473,15.1,13.62,11.77,1996AJ....112.2300W,,9.817,0.023,9.26,0.023,8.931,0.026,,0.138,0.014,,s,GJ 1215
18,110,76.27466666666666,44.23438888888888,UPM 0505+4414,,05050591+4414037,,,,,,,,,,,95.09,-28.83,2018A&A...616A...2L,74.0291,0.106,,0.52,74.5,72.3,3.5,2016AJ....151..160F,13.0466,3.2387,,,,,13.3,9.829,0.023,9.264,0.031,9.017,0.022,,0.145,0.014,,s,UPM J0505+4414
293,255,163.0593333333333,5.919416666666666,LHS 2320,,10521423+0555098,,,,,,,,,,,-695.4,-60.6,2018A&A...616A...2L,71.783,0.0903,,0.46,45.2,86.1,1.9,2014ApJ...784..156D,13.0984,3.3005,,,,,13.4,9.834,0.024,9.279,0.023,8.941,0.023,,0.155,0.014,,s,LHS 2320
466,502,352.65912499999996,-84.92191666666666,LEHPM 2-2163,,23303802-8455189,,,,,,,,,,,-272.15,-62.86,2018A&A...616A...2L,78.5808,0.0573,,0.31,43.5,,,,12.9045,3.0565,14.49,13.11,11.42,This Work,,9.835,0.026,9.305,0.027,8.995,0.025,,0.138,0.014,,s,LEHPM 2163
352,65,41.50937499999999,-70.40174999999999,SCR 0246-7024,,02460224-7024062,,,,,,,,,,,214.81,-88.69,2018A&A...616A...2L,78.4757,0.0533,,0.53,92.1,80.18,1.27,2019AJ....157..216W,13.1455,3.3399,14.86,13.44,11.61,2011AJ....141...21W,,9.838,0.022,9.329,0.021,9.019,0.023,,0.137,0.014,,s,SCR J0246-7024
478,491,340.07787499999995,-49.51794444444444,LSPM 2240-4931,A,22401867-4931045,AB,,4.039,041,2008,lkydet,2010A&A...520A..54B,0.16,i',2010A&A...520A..54B,468.49,172.14,2018A&A...616A...2L,83.9457,0.0787,,0.43,51.6,,,,13.1853,3.3897,,,,,13.5,9.839,0.065,9.263,0.074,9.005,0.057,,0.13,0.014,,s,PM J22403-4931W
201,47,30.567666666666664,10.337194444444442,LHS 1326,,02021620+1020136,,,,,,,,,,,-673.11,-281.62,2018A&A...616A...2L,108.533,0.1215,,0.64,66.4,108.98,0.56,2014ApJ...784..156D 1995gcts.book.....V 2016AJ....152...24W,13.4579,3.8909,15.7,13.99,11.91,2015AJ....149..106D,,9.842,0.023,9.254,0.025,8.928,0.025,,0.112,0.014,,s,LHS 1326
244,83,56.83699999999999,8.696388888888889,LHS 1593,,03472091+0841464,,,,,,,,,,,469.33,-653.53,2018A&A...616A...2L,80.6267,0.104,,0.39,69.6,80.05,2.57,2014ApJ...784..156D 1995gcts.book.....V,12.9778,3.1299,14.48,13.16,11.44,1996AJ....112.2300W,,9.849,0.019,9.272,0.029,9.022,0.022,,0.134,0.014,,s,LHS 1593
44,74,47.74287499999999,73.77213888888888,GJ 1053,,03105861+7346189,,,,,,,,,,,1825.55,-1074.81,2018A&A...616A...2L,82.7034,0.0577,,0.48,95.5,79.39,2.83,2014ApJ...784..156D 1995gcts.book.....V,13.0374,3.2548,14.61,13.27,11.45,1996AJ....112.2300W,,9.85,0.026,9.409,0.049,9.083,0.02,,0.128,0.014,,s,GJ 1053
138,360,250.08604166666663,67.6013611111111,LP 69-457,A,16402068+6736046,AB,,1.0,,,,Winters; in prep,,,,-270.06,365.73,2018A&A...616A...2L,69.2781,0.2681,,2.27,1410.0,74.22,2.4,2014ApJ...784..156D 1995gcts.book.....V,13.5557,3.8299,15.65,14.0,11.95,1987AJ.....93..451W,,9.854,0.023,9.294,0.021,8.95,0.014,J,0.16,0.014,u,s,LP 69-457
48,31,19.967291666666664,84.15913888888888,GJ 1035,,01195227+8409327,,,,,,,,,,,-981.82,475.45,2018A&A...616A...2L,69.0676,0.0623,,0.48,71.6,75.83,2.33,2014ApJ...784..156D 1995gcts.book.....V,13.1254,3.2769,14.75,13.38,11.59,1996AJ....112.2300W,,9.855,0.026,9.314,0.031,9.025,0.023,,0.155,0.014,,s,GJ 1035
6,53,34.12441666666666,13.586861111111109,LHS 1375,,02162977+1335136,,,,,,,,,,,503.85,-433.94,2018A&A...616A...2L,109.803,0.1932,,0.66,77.5,117.7,4.0,1995gcts.book.....V,13.5794,3.9546,15.8,14.14,12.01,2015AJ....149..106D,,9.871,0.021,9.314,0.022,8.981,0.017,,0.109,0.014,,s,LHS 1375
211,476,329.2302083333333,-1.902583333333333,LHS 516,,21565513-0154100,,,,,,,,,,,1281.2,612.24,2018A&A...616A...2L,74.1413,0.098,,0.42,50.7,74.8,3.2,1995gcts.book.....V,13.0378,3.2286,14.65,13.29,11.5,1996AJ....112.2300W,,9.88,0.024,9.315,0.024,9.026,0.023,,0.144,0.014,,s,LHS 516
260,104,72.71220833333332,22.122638888888886,GJ 1072,,04505083+2207224,,,,,,,,,,,628.77,-425.48,2018A&A...616A...2L,78.968,0.0785,,0.45,72.3,78.14,3.27,2014ApJ...784..156D 1995gcts.book.....V,13.3564,3.4735,15.2,13.71,11.83,1996AJ....112.2300W,,9.896,0.021,9.311,0.022,8.977,0.018,,0.139,0.014,,s,GJ 1072
120,352,241.21187499999996,39.16,GJ 611,B,16045093+3909359,AB,,70.4,280,1998,visdet,2006AJ....131.1163S,4.4,Ks,2006AJ....131.1163S,-562.81,42.21,2018A&A...616A...2L,69.4293,0.0602,,0.29,35.4,68.92,0.33,1995gcts.book.....V 1995gcts.book.....V 2007A&A...474..653V,12.8691,2.91,14.23,12.76,11.47,1996AJ....112.2300W,,9.903,0.021,9.453,0.021,9.159,0.017,,0.145,0.014,,s,GJ 611 B
184,429,291.06791666666663,75.55330555555554,GJ 1238,,19241634+7533121,,,,,,,,,,,369.64,592.37,2018A&A...616A...2L,94.0738,0.0551,,0.57,94.0,83.99,3.29,2014ApJ...784..156D 1995gcts.book.....V,13.4037,3.674,15.38,13.81,11.84,1996AJ....112.2300W,,9.908,0.022,9.28,0.026,8.963,0.021,,0.121,0.014,,s,GJ 1238
1,73,47.25066666666666,10.023805555555555,GJ 1055,,03090015+1001257,,,,,,,,,,,286.5,-586.47,2018A&A...616A...2L,79.5076,0.0775,,0.43,40.4,86.25,3.34,2014ApJ...784..156D 1995gcts.book.....V,13.2092,3.3386,14.85,13.44,11.62,1996AJ....112.2300W,,9.926,0.026,9.333,0.029,9.066,0.021,,0.133,0.014,,s,GJ 1055
479,492,340.0790416666666,-49.51702777777777,LSPM 2240-4931,B,22401895-4931013,AB,,4.039,041,2008,lkydet,2010A&A...520A..54B,0.16,i',2010A&A...520A..54B,459.31,144.87,2018A&A...616A...2L,83.9419,0.0906,,0.52,65.6,,,,13.3767,3.5028,,,,,13.8,9.929,0.026,9.384,0.029,9.029,0.021,,0.129,0.014,,s,PM J22403-4931E
292,235,149.73545833333333,5.966694444444443,LP 549-6,,09585650+0558000,,,,,,,,,,,-176.66,-64.3,1979nltt.book.....L,,,2p,,,68.2,2.4,2014ApJ...784..156D,13.1034,3.146,14.77,13.34,11.59,Silverstein; in prep,,9.937,0.023,9.394,0.027,9.039,0.021,,0.156,0.015,,s,LP 549-6
