index,recno,RAJ2000,DEJ2000,Name,Comp,2MASS,Conf,l_Sep,Sep,PA,Date,Tech,r_Sep,DelMag,Filt,r_DelMag,pmRA,pmDE,r_pmRA,plx-DR2,e_plx-DR2,n_plx-DR2,epsi,sepsi,plx-lit,e_plx-lit,r_plx-lit,Gmag,BpRp,Vmag,Rmag,Imag,r_Vmag,Rtmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,n_Kmag,Mass,e_Mass,n_Mass,Memb,SimbadName
110,338,230.9630833333333,17.465944444444442,GJ 585,,15235112+1727569,,,,,,,,,,,-392.16,-1258.73,2018A&A...616A...2L,89.175,0.0844,,0.23,21.3,89.57,2.37,2014ApJ...784..156D 1995gcts.book.....V,12.2066,3.0671,13.72,12.43,10.72,1990A&AS...83..357B,,9.105,0.024,8.62,0.032,8.279,0.023,,0.171,0.014,,s,GJ 585
84,161,106.90733333333331,48.68708333333333,G 107-48,,07073776+4841138,,,,,,,,,,,-33.98,-304.16,2018A&A...616A...2L,94.0023,0.0576,,0.13,6.68,92.4,3.5,2014ApJ...784..156D,12.0433,2.8662,13.4,12.16,10.58,1988Ap&SS.142..223W,,9.106,0.019,8.53,0.016,8.259,0.019,,0.163,0.014,,s,G 107-48
423,204,133.83441666666664,-23.870861111111108,LHS 2071,A,08552032-2352151,AB,,0.0212,orb,2009,astorb,2010AJ....140..897R,,,,-570.42,36.24,2018A&A...616A...2L,69.2108,0.4575,,2.16,2530.0,66.81,1.25,2010AJ....140..897R,12.3283,3.0882,13.88,12.55,10.82,2010AJ....140..897R,,9.107,0.023,8.538,0.031,8.201,0.017,J,0.222,0.014,w,s,LHS 2071
133,288,189.11937499999996,35.20016666666666,G 123-45,A,12362870+3512007,AB,,0.0018,orb,2018,radorb,2020AJ....159..290W,,,,-360.03,-117.18,2018A&A...616A...2L,84.0112,0.2111,,0.88,388.0,88.2,1.7,2014ApJ...784..156D,12.2576,3.0634,13.8,12.45,10.77,Silverstein; in prep,,9.113,0.02,8.542,0.018,8.261,0.015,,0.185,0.014,,s,G 123-45
16,99,67.60541666666666,39.84983333333333,GJ 170,,04302527+3951000,,,,,,,,,,,274.85,-566.0,2018A&A...616A...2L,91.7968,0.0771,,0.21,15.4,92.5,1.98,2014ApJ...784..156D 1995gcts.book.....V,12.3262,3.1795,13.93,12.58,10.81,1996AJ....112.2300W,,9.113,0.021,8.528,0.017,8.246,0.02,,0.168,0.014,,s,GJ 170
326,359,250.0249583333333,0.7052499999999999,LP 625-34,,16400599+0042188,,,,,,,,,,,175.6,-158.03,2018A&A...616A...2L,88.7193,0.067,,0.2,25.7,89.51,0.65,2014ApJ...784..156D 1995gcts.book.....V 2016AJ....152...24W,12.1933,3.0339,13.7,12.39,10.72,1984ApJS...55..289W,,9.116,0.037,8.585,0.034,8.209,0.024,,0.179,0.014,,s,LP 625-34
241,89,61.52866666666666,-5.579055555555555,2MA 0406-0534,,04060688-0534444,,,,,,,,,,,23.38,-145.26,2018A&A...616A...2L,70.7629,0.0591,,0.16,12.7,74.4,6.6,2016AJ....151..160F,12.003,2.767,,,,,12.1,9.128,0.023,8.554,0.021,8.304,0.021,,0.224,0.014,,s,2MASS J04060688-0534444
310,390,270.90024999999997,-18.98072222222222,G 154-43,A,18033605-1858503,AB,,0.99,...,2015,astdet,2017AJ....153...14W,,,,173.16,-341.84,2018A&A...616A...2L,76.1982,0.788,,2.73,2030.0,77.21,1.08,2019AJ....157..216W,12.4562,3.2794,14.13,12.72,10.9,2015AJ....149....5W,,9.131,0.019,8.53,0.031,8.275,0.034,J,0.177,0.015,w,s,G 154-43
345,364,252.7414583333333,22.451583333333332,G 169-29,,16505794+2227058,,,,,,,,,,,36.59,400.29,2018A&A...616A...2L,95.5605,0.0619,,0.26,38.9,95.97,0.81,2014ApJ...784..156D 2019AJ....157..216W,12.4129,3.2354,14.08,12.69,10.91,2017AJ....153...14W,,9.136,0.017,8.571,0.023,8.309,0.021,,0.156,0.014,,s,G 169-29
83,170,112.67824999999999,48.199638888888884,GJ 275.2,A,07304280+4811599,AD,,0.05,...,1980,astdet,1981AJ.....86..909H,2.6,V*,1981AJ.....86..909H,-201.29,-1272.29,2018A&A...616A...2L,88.543,0.0662,,0.19,14.5,89.8,0.81,2014ApJ...784..156D 2013MNRAS.435.1083K 2013MNRAS.435.1083K 1995gcts.book.....V,12.1304,2.9644,13.52,12.24,10.62,1990A&AS...83..357B,,9.141,0.02,8.618,0.024,8.34,0.015,J,0.147,0.014,v,s,GJ 275.2 A
245,109,76.0615,11.05661111111111,G 97-15,,05041476+1103238,,,,,,,,,,,-63.02,194.47,2018A&A...616A...2L,98.1514,0.0837,,0.15,7.32,102.25,1.19,2014ApJ...784..156D 2018AJ....155..265H,12.2321,3.0324,13.76,12.43,10.74,2015AJ....150....6H,,9.144,0.022,8.609,0.028,8.311,0.025,,0.151,0.014,,s,G 97-15
209,504,353.79362499999996,-2.3891111111111107,GJ 1286,,23351050-0223214,,,,,,,,,,,781.66,-841.42,2018A&A...616A...2L,139.31,0.1066,,0.27,25.5,138.72,0.6,1995gcts.book.....V 2016AJ....152...24W,12.6402,3.7206,14.67,13.08,11.03,1996AJ....112.2300W,,9.148,0.021,8.505,0.033,8.183,0.02,,0.118,0.014,,s,GJ 1286
41,93,63.070874999999994,64.7321111111111,LHS 1638,,04121693+6443560,,,,,,,,,,,492.92,-435.93,2018A&A...616A...2L,82.7411,0.0468,,0.17,17.3,85.78,2.12,2014ApJ...784..156D 1995gcts.book.....V,12.2244,3.0133,13.73,12.44,10.77,1996AJ....112.2300W,,9.156,0.026,8.577,0.026,8.289,0.014,,0.186,0.014,,s,LHS 1638
416,141,95.27774999999998,-49.093888888888884,L 308-57,,06210665-4905379,,,,,,,,,,,-26.45,255.18,2018A&A...616A...2L,85.7513,0.0348,,0.16,13.8,81.9,3.7,2018AJ....155..176F,12.0283,2.7323,,,,,12.1,9.16,0.034,8.626,0.053,8.35,0.029,,0.172,0.014,,s,L 308-57
254,157,104.87008333333331,19.34886111111111,GJ 1093,,06592868+1920577,,,,,,,,,,,909.01,-894.57,2018A&A...616A...2L,129.0023,0.1681,,0.51,61.9,128.8,3.5,1995gcts.book.....V,12.7999,3.7605,14.94,13.25,11.24,2015AJ....149..106D,,9.16,0.024,8.547,0.024,8.23,0.023,,0.123,0.014,,s,GJ 1093
501,430,296.22416666666663,-23.633138888888887,LP 869-26,A,19445376-2337591,AB,,0.828,353,2005,AO det,2006A&A...460L..19M,0.08,K',2006A&A...460L..19M,318.22,-134.14,2018A&A...616A...2L,69.0936,0.5902,,3.23,2420.0,67.87,1.1,2017AJ....154..151B,12.7416,3.2882,14.09,12.65,10.85,2015AJ....149....5W,,9.169,0.029,8.571,0.044,8.265,0.027,J,0.159,0.014,v,s,LP 869-26
437,292,190.58195833333332,-71.63894444444443,LHS 2608,,12421964-7138202,,,,,,,,,,,-755.5,-14.2,2018A&A...616A...2L,69.2005,0.0421,,0.14,8.58,72.2,4.7,2018AJ....155..176F,12.0815,2.8615,13.44,12.22,10.62,This Work,,9.169,0.026,8.536,0.067,8.222,0.042,,0.242,0.015,,s,LHS 2608
369,42,28.21495833333333,-48.094805555555546,LHS 5045,,01525159-4805413,,,,,,,,,,,-515.69,-218.28,2018A&A...616A...2L,74.522,0.0576,,0.23,24.3,75.13,1.91,2019AJ....157..216W,12.2944,3.0603,13.79,12.48,10.8,2015AJ....149....5W,,9.171,0.024,8.596,0.063,8.243,0.023,,0.217,0.014,,s,LHS 5045
10,81,54.036249999999995,31.310999999999996,LSPM 0336+3118,,03360868+3118398,,,,,,,,,,,114.97,-132.18,2018A&A...616A...2L,73.0658,0.1258,,0.24,22.3,78.13,2.36,2014ApJ...784..156D 2009AJ....137.4109L,12.3794,3.1493,13.96,12.6,10.87,2019AJ....157..216W,,9.187,0.021,8.6,0.02,8.315,0.031,,0.214,0.015,,s,LSPM J0336+3118
480,505,354.2179583333333,-36.48105555555555,LHS 547,,23365227-3628518,,,,,,,,,,,1175.5,59.37,2018A&A...616A...2L,83.5581,0.0705,,0.19,10.7,85.33,0.97,2005AJ....129.1954J 2016AJ....152...24W,12.2526,3.0259,13.76,12.46,10.79,2005AJ....129.1954J,,9.191,0.037,8.666,0.04,8.422,0.026,,0.171,0.014,,s,LHS 547
172,451,307.85683333333327,38.56230555555555,GJ 792,A,20312561+3833432,AB,,0.118,252,2012,lkydet,2014ApJ...789..102J,1.49,i',2014ApJ...789..102J,195.4,714.35,2018A&A...616A...2L,68.7044,0.394,,2.92,4330.0,68.71,1.1,2014ApJ...784..156D 1995gcts.book.....V,12.1475,2.8652,13.48,12.24,10.67,1996AJ....112.2300W,,9.193,0.021,8.627,0.021,8.358,0.016,J,0.191,0.014,v,s,GJ 792
178,397,274.5142083333333,38.77619444444444,LHS 461,B,18180345+3846359,AB,,9.74,280,1998,visdet,2006AJ....131.1163S,1.66,V,1996AJ....112.2300W,-377.62,-1050.39,2018A&A...616A...2L,88.0473,0.0484,,0.2,19.5,92.07,2.27,2014ApJ...784..156D 2014ApJ...784..156D 1995gcts.book.....V,12.1902,2.9314,13.54,12.29,10.71,1996AJ....112.2300W,,9.197,0.023,8.629,0.024,8.37,0.017,,0.165,0.014,,s,LHS 461
389,62,40.313083333333324,-4.538277777777777,G 75-35,,02411510-0432177,,,,,,,,,,,352.9,-58.06,2018A&A...616A...2L,80.9523,0.0918,,0.23,17.7,84.82,1.37,2017AJ....154..151B 2016AJ....151..160F,12.2681,3.0771,13.79,12.48,10.77,2015AJ....149....5W,,9.199,0.022,8.581,0.061,8.246,0.027,,0.196,0.014,,s,G 75-35
411,233,146.49341666666663,-32.891611111111104,WT 2458,,09455843-3253299,,,,,,,,,,,-300.4,146.02,2018A&A...616A...2L,83.2294,0.0862,,0.32,72.0,83.36,0.75,2019AJ....157..216W,12.4188,3.1909,14.04,12.66,10.89,2015AJ....149....5W,,9.204,0.024,8.603,0.031,8.279,0.026,,0.186,0.014,,s,WT 2458
192,510,356.38024999999993,-16.17225,LHS 4009,A,23453127-1610198,AB,,0.067,250,2005,AO det,2006A&A...460L..19M,0.14,K',2006A&A...460L..19M,-403.82,-535.88,2015AJ....149....5W,,,n,,,79.97,1.37,2010AJ....140..897R,,,14.38,12.9,10.99,2010AJ....140..897R,,9.206,0.022,8.614,0.018,8.312,0.026,J,0.136,0.014,v,s,LHS 4009
55,234,148.47991666666664,20.94633333333333,LHS 2206,,09535523+2056460,,,,,,,,,,,-345.91,392.79,2018A&A...616A...2L,104.5013,0.1153,,0.19,11.4,107.25,1.66,2014ApJ...784..156D 2006AJ....132.2360H 2010A&A...514A..84S,12.378,3.2036,14.02,12.63,10.85,2015AJ....149..106D,,9.208,0.022,8.6,0.021,8.326,0.018,,0.141,0.014,,s,LHS 2206
372,39,24.840499999999995,-39.60252777777777,LP 991-84,,01392170-3936088,,,,,,,,,,,143.42,-228.72,2018A&A...616A...2L,114.4007,0.0716,,0.3,50.1,114.0,0.5,2017AJ....154..151B 2016AJ....152...24W,12.5902,3.4789,14.48,12.97,11.06,2015AJ....149....5W,,9.209,0.023,8.629,0.034,8.274,0.026,,0.133,0.014,,s,LP 991-84
177,407,280.4058333333333,39.70338888888888,G 205-35,,18413741+3942123,,,,,,,,,,,-258.58,-180.53,2018A&A...616A...2L,80.0574,0.0416,,0.17,14.0,87.3,1.4,2014ApJ...784..156D,12.1893,2.9037,13.42,12.2,10.61,1987AJ.....93..451W,,9.216,0.03,8.639,0.024,8.375,0.019,,0.184,0.014,,s,G 205-35
481,498,345.89837499999993,-46.84641666666666,SCR 2303-4650,A,23033561-4650470,AB,,0.275,332,2010,spkdet,2018AJ....155..215M,0.1,V,2018AJ....155..215M,-172.03,-25.41,2018A&A...616A...2L,67.3587,0.8545,,4.0,7160.0,63.4,1.16,2019AJ....157..216W,12.3303,3.0825,13.89,12.54,10.83,2017AJ....153...14W,,9.217,0.023,8.686,0.026,8.36,0.022,J,0.155,0.014,v,s,SCR J2303-4650
276,310,202.08966666666663,-2.358833333333333,GJ 512,B,13282151-0221313,AB,,8.48,52,1999,visdet,2006AJ....131.1163S,2.27,V,1990A&AS...83..357B,162.36,-494.96,2018A&A...616A...2L,71.9908,0.2344,,0.45,63.2,72.84,2.7,1995gcts.book.....V 2007A&A...474..653V,12.3322,3.0679,13.69,12.42,10.77,1990A&AS...83..357B,,9.24,0.03,8.571,0.038,8.302,0.034,,0.219,0.015,,s,GJ 512 B
408,241,153.7157083333333,-47.15669444444444,GJ 1132,,10145184-4709244,,,,,,,,,,,-1053.97,414.3,2018A&A...616A...2L,79.2543,0.0438,,0.21,22.9,83.07,1.69,2005AJ....129.1954J,12.138,2.8365,13.49,12.26,10.69,2005AJ....129.1954J,,9.245,0.026,8.666,0.031,8.322,0.027,,0.192,0.014,,s,GJ 1132
46,45,30.475291666666664,73.54222222222221,LP 30-55,A,02015400+7332320,AB,,0.437,259,2012,lkydet,2014ApJ...789..102J,1.25,i',2014ApJ...789..102J,309.52,-77.17,1979nltt.book.....L,,,n,,,87.46,0.56,2009AJ....137..402G,,,14.19,12.75,10.94,2019AJ....157..216W,,9.252,0.021,8.674,0.018,8.366,0.016,J,0.142,0.014,v,s,LP 30-55
186,10,6.184124999999999,-27.140055555555552,GJ 2005,A,00244419-2708242,A-BC,,1.571,027,2008,astdet,2012A&A...541A..29K,0.61,K,1994A&A...291L..47L,-132.62,640.41,2005AJ....130..337C,,,2p,,,129.71,2.43,2005AJ....130..337C 1995gcts.book.....V,13.0942,3.9669,15.28,13.52,11.37,2015AJ....149....5W,,9.254,0.034,8.547,0.036,8.241,0.03,J,0.106,0.014,v,s,GJ 2005
238,183,119.53791666666665,7.283749999999999,LTT 12102,,07580909+0717015,,,,,,,,,,,-325.54,-32.03,2018A&A...616A...2L,76.1348,0.0524,,0.17,14.1,83.0,2.2,2014ApJ...784..156D,12.2984,3.0018,13.77,12.49,10.84,1986AJ.....91..626W,,9.272,0.027,8.639,0.044,8.381,0.038,,0.195,0.015,,s,LTT 12102
231,148,98.87441666666665,-4.055138888888888,2MA 0635-0403,A,06352986-0403185,AB,,1.0,,,,Winters; in prep,,,,-100.87,78.17,2018A&A...616A...2L,79.4577,0.5147,,2.25,1330.0,89.6,4.9,2018AJ....155..176F,12.6984,3.5019,,,,,13.1,9.272,0.024,8.621,0.04,8.307,0.023,J,0.144,0.014,v,s,2MASS J06352986-0403185
337,412,281.3455833333333,18.866249999999997,G 184-24,,18452294+1851585,,,,,,,,,,,-138.7,-262.62,2018A&A...616A...2L,70.9655,0.044,,0.15,14.7,77.8,0.9,2014ApJ...784..156D,12.2906,2.9326,,,,,12.5,9.273,0.037,8.639,0.036,8.431,0.022,,0.207,0.014,,s,G 184-24
357,59,39.13524999999999,-59.46824999999999,APMPM 0237-5928,,02363244-5928057,,,,,,,,,,,575.04,457.79,2018A&A...616A...2L,99.3292,0.0543,,0.25,24.3,103.72,1.12,2006AJ....132.2360H,12.6284,3.4286,14.47,12.96,11.08,2006AJ....132.2360H,,9.282,0.022,8.695,0.046,8.341,0.023,,0.147,0.014,,s,APMPM J0237-5928
222,139,93.79991666666665,-16.437666666666665,LP 779-34,,06151198-1626152,,,,,,,,,,,-75.93,-371.98,2018A&A...616A...2L,77.5514,0.0684,,0.19,15.1,77.6,3.5,2018AJ....155..176F,12.2699,2.9445,,,,,12.5,9.283,0.024,8.672,0.036,8.387,0.023,,0.19,0.014,,s,LP 779-34
328,368,256.9202083333333,7.368527777777777,GJ 1210,A,17074083+0722066,AB,,0.3807,066,2010,spkdet,2011AJ....141...45H,0.92,562,2011AJ....141...45H,-521.51,-392.99,1995gcts.book.....V,,,2p,,,81.37,2.11,2014ApJ...784..156D 1995gcts.book.....V,12.5024,3.283,14.02,12.64,10.88,1996AJ....112.2300W,,9.284,0.026,8.654,0.029,8.419,0.025,J,0.137,0.014,v,s,GJ 1210
